song,artist,play_count,song_length,album,genre,track_year
Felt This Way,Carly Rae Jepsen,289,217.176,Dedicated Side B,Pop,2020
Daylight,Taylor Swift,269,293.5,Lover,Pop,2019
Fun Tonight,Lady Gaga,267,173.503,Chromatica,Pop,2020
happiness,Taylor Swift,266,315.235,evermore,Alternative,2020
The Archer,Taylor Swift,260,211.302,Lover,Pop,2019
Comeback (feat. Bleachers),Carly Rae Jepsen,239,224.049,Dedicated Side B,Pop,2020
Hold On,Adele,224,366.062,30,Pop,2021
easier said,Kacey Musgraves,218,187.427,star-crossed,Country,2021
Cruel Summer,Taylor Swift,208,178.492,Lover,Pop,2019
Real Love,Carly Rae Jepsen,206,234.985,Dedicated,Pop,2019
Tokyo Love Hotel,Rina Sawayama,205,267.424,SAWAYAMA (Deluxe Edition),Alternative,2020
Lover,Taylor Swift,202,233.499,Lover,Pop,2019
Missing the Miracle,Alanis Morissette,190,213.205,Such Pretty Forks in the Road,Alternative,2020
mirrorball,Taylor Swift,183,237.424,folklore (deluxe version),Pop,2020
Kind of Girl,MUNA,177,246.192,MUNA,Alternative,2022
I Think He Knows,Taylor Swift,175,173.453,Lover,Pop,2019
Bad Friend,Rina Sawayama,174,208.19,SAWAYAMA (Deluxe Edition),Alternative,2020
Cornelia Street,Taylor Swift,168,287.343,Lover,Pop,2019
Sober,Kelly Clarkson,166,290.69,My December,Pop,2007
I Drink Wine,Adele,166,376.232,30,Pop,2021
this is me trying,Taylor Swift,161,209.351,folklore (deluxe version),Pop,2020
Never Really Over,Katy Perry,160,223.352,Smile,Pop,2020
Easy On Me,Adele,159,224.746,30,Pop,2021
You Need To Calm Down,Taylor Swift,153,204.01,Lover,Pop,2019
Love Me 4 Me,Rina Sawayama,151,192.168,SAWAYAMA (Deluxe Edition),Alternative,2020
Hate Me,Miley Cyrus,151,157.849,Plastic Hearts,Pop,2020
Losing the Plot,Alanis Morissette,150,237.503,Such Pretty Forks in the Road,Alternative,2020
Love Me Right,Lady Gaga,144,170.825,Chromatica,Pop,2020
Enchanted,Taylor Swift,144,352.246,Speak Now,Country,2010
Wonder Woman,Kacey Musgraves,143,240.516,Golden Hour,Country,2018
Want You in My Room,Carly Rae Jepsen,141,166.347,Dedicated,Pop,2019
Space Cowboy,Kacey Musgraves,141,216.349,Golden Hour,Country,2018
Too Much,Carly Rae Jepsen,140,197.16,Dedicated,Pop,2019
champagne problems,Taylor Swift,137,244.082,evermore,Alternative,2020
august,Taylor Swift,136,262.005,folklore (deluxe version),Pop,2020
Rain On Me,Lady Gaga & Ariana Grande,133,182.276,Chromatica,Pop,2020
Delicate,Taylor Swift,131,232.315,reputation,Pop,2017
evermore (feat. Bon Iver),Taylor Swift,131,304.16,evermore,Alternative,2020
Death By A Thousand Cuts,Taylor Swift,129,199.125,Lover,Pop,2019
Don’t You (Taylor’s Version) [From The Vault],Taylor Swift,128,208.683,Fearless (Taylor's Version),Country,2021
Goodbye,MARINA,127,283.173,Ancient Dreams In A Modern Land,Pop,2021
exile (feat. Bon Iver),Taylor Swift,125,285.71,folklore (deluxe version),Alternative,2020
Babylon,Lady Gaga,124,181.138,Chromatica,Pop,2020
